step,f1_mean,f1_std,f1_ci_lower,f1_ci_upper,f2_mean,f2_std,f2_ci_lower,f2_ci_upper
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.015897824265728843,0.02930989201575402,0.004953330719329057,0.02684231781212863,0.0295245307792107,0.034339772783328455,0.016701848887037078,0.04234721267138432
3,0.04910232994622643,0.053016825812426845,0.029305521836431012,0.06889913805602185,0.04827555158683388,0.06108923788911223,0.02546445526916394,0.07108664790450382
4,0.09132848648038758,0.07449998006913164,0.0635097367342177,0.11914723622655746,0.08856696536699801,0.09379338736138941,0.0535439389389256,0.12358999179507042
5,0.11965090510190822,0.10239798209213344,0.08141487019705958,0.15788694000675685,0.13592996901399068,0.1532144843222424,0.07871874032783768,0.19314119770014368
6,0.1710038143183493,0.13302303791561945,0.12133219563045158,0.220675433006247,0.15235446480826573,0.14125659290420867,0.09960838616029355,0.2051005434562379
7,0.1996470275239472,0.11487753484615133,0.15675105103675183,0.24254300401114257,0.18941584652300092,0.16764853842045746,0.12681485345827603,0.2520168395877258
8,0.21000842180840562,0.12193536343110772,0.16447700881540078,0.25553983480141046,0.20926753316018512,0.17869215065410332,0.14254278751544003,0.2759922788049302
9,0.27006367495842587,0.16978543673249077,0.2066647509503597,0.33346259896649205,0.23880198158599555,0.19000397359454266,0.16785333183736936,0.3097506313346218
10,0.3231630076217942,0.188806846592198,0.2526613724423223,0.39366464280126606,0.26708807720397626,0.21020759330021346,0.18859527187252573,0.3455808825354268
11,0.40218771907374423,0.1993652673780039,0.32774350477837816,0.4766319333691103,0.2819830787399519,0.22137649945900215,0.1993197353079343,0.36464642217196946
12,0.4356016947911844,0.22666133406777544,0.35096496168449925,0.5202384278978696,0.3282322492830681,0.2516150498783838,0.2342776455577842,0.422186853008352
