state,f1_mean,f1_std,f1_ci_lower,f1_ci_upper,f2_mean,f2_std,f2_ci_lower,f2_ci_upper
Attack,0.3953333333333333,0.022966742571984725,0.3867574107156107,0.4039092559510559,0.3305,0.024925751813100357,0.321192571309679,0.33980742869032105
Defend,0.17483333333333334,0.02234075189876784,0.16649115947454327,0.18317550719212342,0.3425,0.026644207496254194,0.3325508894118425,0.35244911058815753
Disengage,0.16833333333333333,0.026107646301463082,0.1585845779880571,0.17808208867860956,0.17833333333333334,0.02856732318616829,0.16766611954486615,0.18900054712180053
Feint,0.2615,0.02259653620083977,0.2530623147131299,0.2699376852868701,0.14866666666666672,0.02586214559375621,0.1390095827922267,0.15832375054110676
