from_state,Attack,Defend,Disengage,Feint,observation_count,row_sum
Attack,0.1206896551724138,0.45993914807302233,0.2733265720081136,0.1460446247464503,1972.0,1.0
Defend,0.623046875,0.17626953125,0.11181640625,0.0888671875,2048.0,1.0
Disengage,0.1213546566321731,0.46942615239887114,0.13828786453433678,0.270931326434619,1063.0,1.0
Feint,0.3833145434047351,0.3246899661781285,0.14092446448703494,0.15107102593010147,887.0,0.9999999999999999
