state,f1_mean,f1_std,f1_ci_lower,f1_ci_upper,f2_mean,f2_std,f2_ci_lower,f2_ci_upper
Attack,0.3811666666666667,0.023550508206440238,0.37237276237860994,0.3899605709547235,0.32,0.022010969052285948,0.31178096907988384,0.3282190309201162
Defend,0.18183333333333326,0.021674843726650316,0.17373981367252922,0.1899268529941373,0.3351666666666667,0.02461718398043198,0.32597445909867023,0.3443588742346632
Disengage,0.18116666666666664,0.023218725102862534,0.17249665222555843,0.18983668110777485,0.18883333333333333,0.02890780032344609,0.17803898329238077,0.19962768337428588
Feint,0.2558333333333333,0.02008959815484094,0.2483317540973115,0.2633349125693551,0.15599999999999997,0.023758845902541008,0.14712830113770112,0.16487169886229883
