step,f1_mean,f1_std,f1_ci_lower,f1_ci_upper,f1_median,f2_mean,f2_std,f2_ci_lower,f2_ci_upper,f2_median,fitness_diff
0,0.2000000000000001,8.469019281125553e-17,0.20000000000000007,0.20000000000000012,0.2,0.3,0.0,0.3,0.3,0.3,-0.0999999999999999
1,0.6866666666666668,0.23449628088122515,0.5991043163386662,0.7742290169946673,0.7,0.6799999999999998,0.204095988235421,0.6037893055051846,0.756210694494815,0.6499999999999999,0.006666666666666932
2,1.1633333333333333,0.36811105270887584,1.0258784072433547,1.300788259423312,1.2000000000000002,1.12,0.29407951071213656,1.010188906005269,1.2298110939947313,1.2,0.043333333333333224
3,1.5800000000000003,0.37176188152058326,1.441181832027477,1.7188181679725236,1.6,1.6233333333333333,0.3588134981251146,1.4893501711817745,1.757316495484892,1.6,-0.043333333333333
4,2.1133333333333337,0.44623585331258325,1.9467061272649278,2.2799605394017397,2.1500000000000004,2.063333333333333,0.4327006876091962,1.9017602412006096,2.2249064254660564,2.0,0.05000000000000071
5,2.58,0.49228531116234514,2.3961776437761095,2.7638223562238906,2.6,2.52,0.4773490012197755,2.341754953569186,2.698245046430814,2.5,0.06000000000000005
6,3.02,0.4766260733458709,2.842024899273736,3.1979751007262642,3.2,2.9366666666666665,0.5416980539093669,2.734393289066989,3.138940044266344,2.9999999999999996,0.08333333333333348
7,3.5433333333333334,0.530246093375736,3.345336188074825,3.7413304785918418,3.5999999999999996,3.3833333333333337,0.6281243745350579,3.1487878372346,3.6178788294320676,3.3,0.1599999999999997
8,4.026666666666667,0.5132273364217603,3.835024429694768,4.218308903638566,4.199999999999999,3.8499999999999996,0.6931935093314927,3.591157289654737,4.108842710345262,3.8499999999999996,0.17666666666666764
9,4.383333333333332,0.5669539501663212,4.171629249081982,4.595037417584682,4.35,4.286666666666668,0.745438234141193,4.008315455464225,4.565017877869111,4.3500000000000005,0.09666666666666401
10,4.8566666666666665,0.6295501039101918,4.6215887944699015,5.0917445388634315,4.800000000000001,4.733333333333334,0.7653411830267476,4.447550238877443,5.019116427789226,4.8,0.12333333333333218
11,5.323333333333333,0.668855601824455,5.07357854700705,5.573088119659617,5.25,5.133333333333334,0.7558203277341062,4.8511053846709,5.4155612819957675,5.1,0.1899999999999995
12,5.813333333333332,0.706488808674001,5.549526076623541,6.077140590043123,5.800000000000001,5.6,0.7714741821947793,5.3119268060180325,5.888073193981967,5.65,0.21333333333333204
13,6.299999999999999,0.7455615795932065,6.021602730848833,6.578397269151165,6.25,6.096666666666668,0.7707959761062645,5.8088467190001385,6.384486614333197,6.1,0.20333333333333137
14,6.78,0.8057551608958795,6.479126078196969,7.080873921803032,6.75,6.6066666666666665,0.8419735982974081,6.292268558074115,6.921064775259218,6.6,0.17333333333333378
15,7.200000000000001,0.8529866393423472,6.8814895542969,7.518510445703102,7.199999999999999,7.060000000000001,0.8826293008724673,6.730420802571711,7.389579197428292,6.9,0.13999999999999968
16,7.619999999999999,0.8841126469029796,7.28986691206098,7.950133087939019,7.5,7.416666666666666,0.8796877711510167,7.088185854487821,7.745147478845511,7.25,0.20333333333333314
17,8.096666666666666,0.909142579513828,7.757187248288114,8.436146085045218,7.95,7.94,0.8688478300163601,7.615566888362933,8.264433111637068,7.8500000000000005,0.1566666666666654
