experiment_id,timestamp,random_seed,n_simulations,n_steps,notes,git_commit,python_version,numpy_version,pandas_version,selection_strength,f1_final_mean,f1_final_std,f1_final_ci_lower,f1_final_ci_upper,f2_final_mean,f2_final_std,f2_final_ci_lower,f2_final_ci_upper,fitness_diff_mean,ci_overlap,f1_win_rate,f2_win_rate,tie_rate,f1_final_lambda_mean,f2_final_lambda_mean,f1_attack_occ,f1_defend_occ,f1_disengage_occ,f1_feint_occ,f2_attack_occ,f2_defend_occ,f2_disengage_occ,f2_feint_occ,runtime_s
EXP_C0CE9407_20260709_152832,2026-07-09T15:28:32.555402,42,30,200,Demo run selection_strength=0.5,695b2fa,3.11.15,2.4.6,3.0.3,0.5,93.49333333333335,2.410885276426874,92.59309397609584,94.3935726905709,92.01666666666668,3.1742588962196967,90.83137891515923,93.2019544181741,1.476666666666702,True,0.6666666666666666,0.3333333333333333,0.0,0.948713427661536,0.8396188975618418,0.3811666666666667,0.1818333333333332,0.1811666666666666,0.2558333333333333,0.32,0.3351666666666667,0.1888333333333333,0.1559999999999999,0.0334372520446777
EXP_1FB13E9D_20260709_152833,2026-07-09T15:28:33.835205,42,30,200,Demo run selection_strength=1.0,695b2fa,3.11.15,2.4.6,3.0.3,1.0,93.64,3.1686611988509346,92.4568024630418,94.82319753695823,92.70666666666666,3.426059698468673,91.42735495035886,93.98597838297448,0.9333333333333512,True,0.5666666666666667,0.4333333333333333,0.0,0.9653294884918704,0.8595897397520866,0.3953333333333333,0.1748333333333333,0.1683333333333333,0.2615,0.3305,0.3425,0.1783333333333333,0.1486666666666667,0.0312221050262451
EXP_EF3D3352_20260709_152835,2026-07-09T15:28:35.012881,42,30,200,Demo run selection_strength=2.0,695b2fa,3.11.15,2.4.6,3.0.3,2.0,93.0166666666667,3.6109109876760304,91.6683303445812,94.36500298875218,93.27666666666669,2.9735249409938587,92.16633420589628,94.38699912743704,-0.2599999999999767,True,0.4,0.6,0.0,0.9736073554318614,0.8844506842008018,0.4113333333333333,0.1613333333333333,0.1495,0.2778333333333334,0.3548333333333333,0.3764999999999999,0.1463333333333333,0.1223333333333333,0.0309436321258544
