step,f1_mean,f1_std,f1_ci_lower,f1_ci_upper,f1_median,f2_mean,f2_std,f2_ci_lower,f2_ci_upper,f2_median,fitness_diff
0,0.2000000000000001,8.469019281125553e-17,0.20000000000000007,0.20000000000000012,0.2,0.3,0.0,0.3,0.3,0.3,-0.0999999999999999
1,0.6966666666666668,0.2539119224609512,0.6018543966237008,0.7914789367096328,0.6000000000000001,0.65,0.17955884637172523,0.5829516248555929,0.7170483751444071,0.6,0.046666666666666745
2,1.1366666666666667,0.33164515034465136,1.0128283323019112,1.2605050010314223,1.2,1.18,0.2771778963173228,1.0765000725414113,1.2834999274585885,1.2000000000000002,-0.043333333333333224
3,1.5899999999999999,0.40373258476372703,1.4392437752400145,1.7407562247599853,1.6,1.663333333333333,0.2999808423001816,1.5513186459085815,1.7753480207580847,1.7000000000000002,-0.07333333333333325
4,2.1,0.45334009460813235,1.930720026634826,2.2692799733651743,2.3,2.15,0.3839450391702545,2.006632566195998,2.293367433804002,2.1500000000000004,-0.04999999999999982
5,2.563333333333333,0.47159548222027603,2.3872366862048864,2.7394299804617797,2.5999999999999996,2.6333333333333324,0.41217115070230764,2.479426096266443,2.787240570400222,2.5999999999999996,-0.0699999999999994
6,2.9933333333333336,0.49265874972252444,2.80937153285937,3.1772951338072972,3.0,3.023333333333334,0.4523374795462994,2.854427742585054,3.1922389240816136,3.0,-0.03000000000000025
7,3.506666666666667,0.5291068162370485,3.3090949344832126,3.704238398850121,3.5000000000000004,3.4799999999999995,0.521536192416212,3.2852551852103327,3.6747448147896664,3.3500000000000005,0.026666666666667282
8,4.0233333333333325,0.6043995785692713,3.7976468216415573,4.249019845025108,4.0,3.9533333333333336,0.620196483512217,3.721748160394078,4.184918506272589,4.0,0.06999999999999895
9,4.510000000000002,0.6671348930443087,4.260887736891798,4.7591122631082055,4.5,4.459999999999999,0.717562925271462,4.192057600193541,4.727942399806457,4.450000000000001,0.05000000000000249
10,4.94,0.7010337194900605,4.678229707068056,5.201770292931945,4.9,4.913333333333333,0.6921895959790273,4.654865490394655,5.1718011762720115,5.000000000000001,0.026666666666667282
11,5.413333333333333,0.7842120285656974,5.1205037493473835,5.706162917319283,5.5,5.3566666666666665,0.7190431061527168,5.088171558235636,5.6251617750976965,5.4,0.05666666666666664
12,5.863333333333333,0.822311013120249,5.556277354710462,6.170389311956205,5.9,5.8566666666666665,0.7990008127971927,5.558314859893485,6.155018473439848,5.9,0.006666666666666821
13,6.336666666666667,0.8984597292352456,6.001176290140205,6.6721570431931285,6.549999999999999,6.303333333333334,0.8138810102530805,5.999425169513952,6.607241497152716,6.449999999999999,0.033333333333333215
14,6.786666666666666,0.9533003772135,6.430698455641334,7.142634877691998,7.0,6.843333333333332,0.789885776698052,6.548385136976341,7.138281529690323,6.9,-0.056666666666665755
15,7.159999999999998,0.97789358422528,6.794848534553905,7.525151465446092,7.5,7.216666666666668,0.7710643487317108,6.928746507014859,7.5045868263184765,7.4,-0.05666666666666931
16,7.650000000000002,1.1028958746612607,7.238171912196295,8.06182808780371,7.800000000000001,7.673333333333332,0.8038413522208407,7.373174039434141,7.973492627232523,7.799999999999999,-0.023333333333329875
17,8.136666666666667,1.1149403365306092,7.720341102886996,8.552992230446337,8.35,8.190000000000001,0.7875540485010185,7.895922485261035,8.484077514738967,8.1,-0.053333333333334565
18,8.626666666666669,1.1413643781361678,8.200474203593531,9.052859129739806,8.75,8.656666666666666,0.8257424384834798,8.348329372755337,8.965003960577995,8.75,-0.029999999999997584
19,9.093333333333334,1.130130701423004,8.671335594083247,9.51533107258342,9.3,9.163333333333334,0.8260764485509647,8.854871318013068,9.4717953486536,9.200000000000001,-0.07000000000000028
20,9.579999999999997,1.0597332130110018,9.184289114935309,9.975710885064684,9.7,9.6,0.8662244672059353,9.276546468135288,9.92345353186471,9.599999999999998,-0.020000000000003126
21,10.096666666666664,1.1306035413955204,9.674492366069137,10.518840967264191,10.2,10.06,0.8996551063295464,9.724063262330787,10.395936737669214,10.15,0.03666666666666352
22,10.586666666666668,1.218459551302759,10.131686392818697,11.041646940514639,10.8,10.593333333333332,0.9677322703756639,10.23197616483621,10.954690501830454,10.649999999999999,-0.006666666666664156
23,11.036666666666669,1.2349740562215188,10.575519775336511,11.497813557996826,11.350000000000001,11.063333333333336,0.9876769447174705,10.694528701041342,11.43213796562533,11.099999999999998,-0.026666666666667282
24,11.540000000000001,1.2375169800297974,11.077903565314523,12.002096434685479,11.7,11.526666666666667,1.0112925608735392,11.149043818378674,11.90428951495466,11.55,0.013333333333333641
25,12.003333333333334,1.2152715982327842,11.549543460725388,12.45712320594128,12.15,11.993333333333336,1.0348857452623097,11.60690064520891,12.379766021457762,11.899999999999997,0.00999999999999801
26,12.463333333333333,1.2141360865988666,12.009967467737852,12.916699198928814,12.700000000000003,12.48,1.0749177995837955,12.078619097124898,12.881380902875103,12.5,-0.016666666666667496
27,12.953333333333328,1.24228191962054,12.489457640963385,13.41720902570327,13.25,12.963333333333333,1.0633335134940218,12.566278073974113,13.360388592692553,12.799999999999997,-0.010000000000005116
28,13.326666666666666,1.257510768674899,12.857104428604064,13.796228904729269,13.549999999999997,13.506666666666664,1.0342191234947744,13.120482899201132,13.892850434132196,13.399999999999999,-0.17999999999999794
29,13.816666666666666,1.3331537235348048,13.318858885056859,14.314474448276474,14.000000000000004,13.973333333333331,1.0947943700273943,13.564530397076885,14.382136269589777,14.0,-0.1566666666666645
