state,f1_mean,f1_std,f1_ci_lower,f1_ci_upper,f2_mean,f2_std,f2_ci_lower,f2_ci_upper
Attack,0.4113333333333333,0.025391192246095123,0.4018521063290367,0.4208145603376299,0.35483333333333333,0.024157647940620967,0.3458127193426638,0.3638539473240029
Defend,0.16133333333333336,0.0199971262303178,0.1538662836814063,0.1688003829852604,0.37649999999999995,0.02515983389013749,0.3671051636256082,0.3858948363743917
Disengage,0.1495,0.030803884663217842,0.13799764043076573,0.16100235956923425,0.14633333333333332,0.019384197853839134,0.1390951548985766,0.15357151176809003
Feint,0.2778333333333334,0.025109530177745778,0.2684572806738504,0.28720938599281637,0.12233333333333335,0.02528231402183848,0.1128927621261335,0.1317739045405332
