param1_name,param1_value,param2_name,param2_value,params,f1_mean_fitness,f2_mean_fitness,fitness_diff,f1_ci_lower,f1_ci_upper,f2_ci_lower,f2_ci_upper,f1_win_rate,ci_overlap
selection_strength,0.5,memory_growth,2.5,"{'selection_strength': 0.5, 'memory_decay': 0.95, 'memory_growth': 2.5, 'steepness': 0.6}",140.565,138.23499999999999,2.3300000000000125,138.89455982033783,142.23544017966216,136.3605868494812,140.10941315051878,0.7,True
selection_strength,1.0,memory_growth,0.5,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 0.5, 'steepness': 0.6}",139.18000000000006,138.235,0.94500000000005,137.40891131809462,140.9510886819055,136.33468830274907,140.13531169725096,0.65,True
selection_strength,1.0,memory_growth,1.0,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 1.0, 'steepness': 0.6}",139.95999999999998,138.83499999999998,1.125,137.8913863549168,142.02861364508317,136.83110456534203,140.83889543465793,0.6,True
selection_strength,1.0,memory_growth,1.5,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 0.6}",140.36999999999998,138.64499999999995,1.7250000000000227,138.0976568152682,142.64234318473174,136.96601022550124,140.32398977449867,0.7,True
selection_strength,1.0,memory_growth,2.5,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 2.5, 'steepness': 0.6}",140.89000000000001,139.45999999999998,1.4300000000000352,138.8840561277254,142.89594387227464,137.84870771321613,141.07129228678383,0.6,True
selection_strength,2.0,memory_growth,0.5,"{'selection_strength': 2.0, 'memory_decay': 0.95, 'memory_growth': 0.5, 'steepness': 0.6}",139.17000000000002,140.41499999999996,-1.2449999999999477,137.4492592533891,140.89074074661093,138.395403026611,142.43459697338892,0.3,True
selection_strength,2.0,memory_growth,1.0,"{'selection_strength': 2.0, 'memory_decay': 0.95, 'memory_growth': 1.0, 'steepness': 0.6}",139.64500000000004,140.3549999999999,-0.7099999999998658,137.78781317007497,141.5021868299251,138.16452442133848,142.54547557866132,0.35,True
selection_strength,2.0,memory_growth,1.5,"{'selection_strength': 2.0, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 0.6}",139.175,140.15499999999992,-0.9799999999999045,137.21292765277505,141.13707234722497,138.07343771886786,142.23656228113197,0.4,True
selection_strength,2.0,memory_growth,2.5,"{'selection_strength': 2.0, 'memory_decay': 0.95, 'memory_growth': 2.5, 'steepness': 0.6}",138.91500000000005,140.1649999999999,-1.249999999999858,136.86093415615528,140.96906584384482,138.04416513826598,142.28583486173383,0.4,True
selection_strength,0.0,steepness,0.1,"{'selection_strength': 0.0, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 0.1}",140.98500000000004,135.825,5.160000000000053,139.5042083504131,142.46579164958698,133.74385867122032,137.90614132877965,0.9,False
selection_strength,0.0,steepness,0.4,"{'selection_strength': 0.0, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 0.4}",141.06000000000006,135.905,5.155000000000058,139.60100190362158,142.51899809637854,133.96332791706382,137.84667208293618,0.9,False
selection_strength,0.0,steepness,0.8,"{'selection_strength': 0.0, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 0.8}",141.25000000000006,136.01500000000004,5.235000000000014,139.75177669028503,142.7482233097151,134.1557782599672,137.87422174003288,0.9,False
