param_name,param_value,f1_mean_fitness,f2_mean_fitness,f1_std_fitness,f2_std_fitness,f1_ci_lower,f1_ci_upper,f2_ci_lower,f2_ci_upper,f1_win_rate,f2_win_rate,tie_rate,f1_mean_lambda,f2_mean_lambda,ci_overlap,runtime_s,selection_strength,memory_decay,memory_growth,steepness
selection_strength,0.0,142.54000000000008,136.148,4.056991948903677,4.222497568298365,141.38701564535015,143.69298435465,134.94797946875124,137.34802053124875,0.92,0.08,0.0,0.9468296863353161,0.8701046070665259,False,1.5418927669525146,0.0,0.95,1.5,0.6
selection_strength,0.25,142.42600000000002,137.258,4.211684911756618,4.170796918908343,141.22905239173997,143.62294760826006,136.07267263073498,138.44332736926503,0.82,0.18,0.0,0.9477799336710815,0.8904403751304923,False,1.5795249938964844,0.25,0.95,1.5,0.6
selection_strength,0.5,141.66000000000005,137.79799999999994,3.616797546144364,3.9118600409002005,140.63211751042115,142.68788248957895,136.6862616772367,138.9097383227632,0.84,0.16,0.0,0.9454845305689945,0.8879173972279818,False,1.5281124114990234,0.5,0.95,1.5,0.6
selection_strength,0.75,141.31800000000004,138.18399999999997,4.045692594776399,3.937126269921496,140.16822688626223,142.46777311373785,137.06508109439864,139.3029189056013,0.78,0.22,0.0,0.9533071725660313,0.8911155923807776,False,1.5278544425964355,0.75,0.95,1.5,0.6
selection_strength,1.0,140.83999999999997,138.53999999999996,4.315420853503999,3.7976362143215363,139.61357096329343,142.06642903670652,137.46072372957306,139.61927627042687,0.74,0.26,0.0,0.961987910276987,0.8817336043451144,True,1.525435447692871,1.0,0.95,1.5,0.6
selection_strength,1.5,139.99400000000003,139.88599999999988,4.0810367830356356,3.8174149817457828,138.8341821790989,141.15381782090117,138.80110266606545,140.97089733393432,0.5,0.5,0.0,0.9657240510796714,0.8915611113776651,True,1.5240027904510498,1.5,0.95,1.5,0.6
selection_strength,2.0,139.36800000000005,140.7019999999999,4.360417504818371,3.6009913600993366,138.12878305648212,140.60721694351798,139.6786095787924,141.72539042120744,0.42,0.58,0.0,0.9680469962142962,0.8974713822831915,True,1.5201880931854248,2.0,0.95,1.5,0.6
memory_decay,0.8,140.33800000000005,139.87600000000003,3.883607096712102,4.27334214183986,139.23429107513357,141.44170892486653,138.66152960083176,141.0904703991683,0.62,0.38,0.0,0.3109599810563964,0.20209190689945156,True,1.5315303802490234,1.0,0.8,1.5,0.6
memory_decay,0.85,140.12200000000007,139.12600000000003,4.005979714050936,4.117747055894329,138.98351316208712,141.26048683791302,137.95574923498808,140.296250765012,0.64,0.36,0.0,0.48719223519539784,0.3159012095389741,True,1.5600287914276123,1.0,0.85,1.5,0.6
memory_decay,0.9,140.33800000000005,138.57399999999996,4.405371952606993,4.105934480624791,139.08600714378005,141.58999285622005,137.4071063317349,139.74089366826502,0.72,0.28,0.0,0.7533022774774117,0.5396240372658023,True,1.5853893756866455,1.0,0.9,1.5,0.6
memory_decay,0.92,140.184,138.41799999999998,4.49200468860497,4.115857338714847,138.9073863926264,141.4606136073736,137.2482862866682,139.58771371333177,0.72,0.28,0.0,0.8653990653711141,0.6697669057931764,True,1.5242340564727783,1.0,0.92,1.5,0.6
memory_decay,0.95,140.83999999999997,138.53999999999996,4.315420853503999,3.7976362143215363,139.61357096329343,142.06642903670652,137.46072372957306,139.61927627042687,0.74,0.26,0.0,0.961987910276987,0.8817336043451144,True,1.5020558834075928,1.0,0.95,1.5,0.6
